,Calm_Direct_FinalMax,Calm_Avert_FinalMax,Angry_Direct_FinalMax,Angry_Avert_FinalMax,Fix_a_d_BG,Fix_a_d_EY,Fix_a_d_MO,Fix_a_a_BG,Fix_a_a_EY,Fix_a_a_MO,Fix_c_d_BG,Fix_c_d_EY,Fix_c_d_MO,Fix_c_a_BG,Fix_c_a_EY,Fix_c_a_MO,Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_d_MO,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_a_a_MO,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Dwell_c_a_BG,Dwell_c_a_EY,Dwell_c_a_MO,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_aBG,pctFirstFixc_aEY,pctFirstFixc_aMO,pctFirstFixc_aBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixa_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctFirstFixc_dBG,meanRT-a_a,meanRT-c_a,meanRT-a_d,meanRT-c_d,msTotal.a_a,msTotal.a_c,msTotal.d_a,msTotal.d_c,pctOffscreen.a_a,pctOffscreen.a_c,pctOffscreen.d_a,pctOffscreen.d_c,pctOnBackground.a_a,pctOnBackground.a_c,pctOnBackground.d_a,pctOnBackground.d_c,pctSamplesOffscreenL,pctSamplesOffscreenR,ARI_6_P,SCARED_P
Fix_c_d_BG,0.09652594322528325,0.05850115763383914,0.059040642517825384,0.10623549518759726,0.9306476903399226,-0.4509186032958765,-0.20459051330138833,0.8737902029065558,-0.4612867280972054,-0.20991857806333006,1.0,-0.3821106184466279,-0.16654367011783955,0.9459159263405866,-0.4145959992955392,-0.2168813700638432,0.8522200940869642,-0.5538357503139977,-0.1898401639352199,0.7931359373740323,-0.5790917881397972,-0.18386810368844575,0.920277846218041,-0.5105397429093309,-0.1683065135853213,0.9085234468369465,-0.5073687203108669,-0.19282695182735357,-0.40750107941171393,-0.19020494738981256,0.6315200442435167,-0.3466830133262389,-0.24143785383020303,0.7657844427618326,-0.44321906366441804,-0.23076527386081028,0.7818149466115067,-0.38443428183756806,-0.15225160312075486,0.9104009772887038,0.061967067478112745,0.02740406767140194,0.09373216795830179,0.09887186112401043,-0.3496375341092454,-0.1868536097193193,-0.0011379662372881386,0.17020060987406532,0.2415251562988461,0.0860829875436638,0.06614687558153359,0.10732175882594508,0.5800274195989845,0.5520711300104669,0.5199555729890073,0.5213435284508243,0.23158486018351673,0.21003100200667113,0.2618949757330538,0.24057980666614698
Fix_c_d_EY,-0.13387768440167458,-0.11739017766585093,-0.1408429087918983,-0.13980097535779268,-0.37869292381415365,0.9023778267361362,-0.08144394809283037,-0.3770996438055797,0.8846571402039564,-0.004111501802205468,-0.3821106184466279,1.0,-0.06886897939945229,-0.31503691043031434,0.9122530095851343,-0.1590559440204659,-0.451508708014002,0.7746903299197313,-0.20892586780502953,-0.41517369414646604,0.7401587217629583,-0.12064048266207138,-0.4450500201678611,0.8363550014031768,-0.17956221809731285,-0.40590409834626945,0.7901861551642564,-0.2585165543179539,0.7376467635692587,-0.18567169222248253,-0.4104139169711007,0.736416676389037,-0.09287229592130435,-0.4504580364370941,0.8421982830370921,-0.24315159791597601,-0.45105637813658694,0.808490019096985,-0.24701630659854365,-0.4340867834920931,0.3375953810000029,0.34624660182071765,0.33011446389452265,0.3915490152499778,0.46538219206848636,0.34068265051463653,0.08042783646305639,0.0816629435487065,-0.1179738855708108,-0.08114480942438564,-0.04807875317551793,-0.12188317007175456,-0.3796022105037803,-0.3557560678619494,-0.329870101452968,-0.4139987251709256,-0.046884041397681674,-0.015747684266277814,-0.14712422959934263,-0.27444900057903443
Fix_c_d_MO,-0.19860516459806685,-0.142941215433598,-0.17417712346961864,-0.17579378640061255,-0.0884606497210122,0.027591949898495588,0.8846330968377865,-0.10679639458686933,0.04191755789022006,0.8651706155363822,-0.16654367011783952,-0.06886897939945229,0.9999999999999997,-0.15337350149538706,-0.04054599377233063,0.8485341245852799,-0.11788720316527962,-0.09927288845042648,0.8092290084656334,-0.14921505617732947,-0.09255132298586863,0.7432693272908554,-0.18829080459588998,-0.22093962333538505,0.9481586019485674,-0.17834048752742138,-0.14736991959553522,0.7297589981826392,-0.15648439203726353,0.7308799671712987,-0.08109514959345977,-0.11119022784143288,0.6985866933733453,-0.13730564241092597,-0.10545590054129106,0.7812328322588703,-0.003171384655520445,-0.23527840697409735,0.8236321674821623,-0.1474225350994943,0.1875977097491729,0.12604792464859327,0.1730654076218693,0.18294300439285122,0.288176236999978,-0.18842752065208324,0.03179154986294647,-0.1657308104872064,0.07539879742561169,0.06016301214928101,0.08606496907157214,0.14310956147839451,-0.04502716873888279,-0.06479678845076832,-0.04774617355121732,-0.012634860923024698,0.09701306334781451,0.12460175323121137,0.02903178423233983,0.15676935932118463
Fix_c_a_BG,0.06728731402189879,0.027938241099434442,0.043412990325555026,0.07148322166063359,0.9185223680677147,-0.4038835395466281,-0.21247050524884095,0.8221491957398107,-0.4230799086037847,-0.2087231834533386,0.9459159263405866,-0.3150369104303143,-0.15337350149538706,1.0,-0.3605691300410898,-0.20597030210057662,0.8153703148501472,-0.5039586945021207,-0.20070486863011697,0.7268337912593927,-0.5302371686525723,-0.20808581632299106,0.8483348894874256,-0.438497525518042,-0.15145459024694033,0.9117404035286829,-0.45830286741507664,-0.18574634687950248,-0.36734272630647347,-0.20787370560768412,0.5832480599341751,-0.33824125873948896,-0.2120219448546063,0.7926387385217997,-0.3678553039102963,-0.2105398135870904,0.7480924025471896,-0.3190942508065262,-0.14388834566407907,0.8449644254416279,0.10492656517216374,0.08059785908967987,0.1298513072740125,0.14651677365752325,-0.26945068112900805,-0.184041679352124,-0.02187732570153113,0.12449305332516973,0.22140549312639166,0.09076006405353779,0.059263565007911266,0.12264907708713671,0.5178904029260606,0.5323514389687878,0.4801712623234357,0.46874776836898197,0.24230639004700943,0.2323341052482413,0.3180611979210051,0.21512691909320536
Fix_c_a_EY,-0.12886189194722494,-0.11981602045913022,-0.12830943533008465,-0.14277487394117527,-0.4143133630496219,0.890621376464393,-0.029005465324022026,-0.43817279870338927,0.8876868212378123,0.04443116204687883,-0.4145959992955392,0.9122530095851342,-0.04054599377233063,-0.3605691300410898,1.0,-0.1390089644423557,-0.49383271908706483,0.7865697810645873,-0.17811361467860892,-0.468444150464112,0.7514285963681137,-0.08527473340127276,-0.4825613983379359,0.8089068705343542,-0.161303242094288,-0.44537449647812083,0.8692601147613159,-0.26515643683635126,0.7020025503724564,-0.11676979582376844,-0.47343365376678787,0.822049113386625,-0.09269344325446871,-0.5056586824980023,0.8538972721465174,-0.19710847359735587,-0.47678721918426975,0.7163804669802372,-0.214594867285927,-0.45974008134853295,0.2772643625034449,0.3470739143431364,0.26231580237214225,0.30674175283340954,0.42822190730194964,0.27239430183920427,0.04808009091339756,0.020991725018898746,-0.07994615799120255,-0.08135086371893083,-0.106620408500116,-0.13846842542592216,-0.4180286791352732,-0.40388196088541656,-0.41457882817648467,-0.4599941279433898,-0.04126227559644253,-0.03424009005038981,-0.16961789513950284,-0.29687545619957806
Fix_c_a_MO,-0.21726810380500533,-0.16226529521559735,-0.17215470280802522,-0.16496034493144215,-0.1735967953930226,-0.041759223733489656,0.8455991600315771,-0.14784817654090152,-0.04466064792400204,0.8090711642888532,-0.2168813700638432,-0.1590559440204659,0.8485341245852798,-0.20597030210057662,-0.1390089644423557,0.9999999999999997,-0.16290799356941982,-0.13082066010908833,0.8399784717130674,-0.19026147374216695,-0.14962966137691397,0.7965830329517456,-0.22525420274589616,-0.29696791792393673,0.8591989162225652,-0.23243059210690295,-0.2233928658810997,0.9252713608863465,-0.170502075020345,0.659682832728942,-0.11696080287414813,-0.17285118825843976,0.8892616707645256,-0.21630580688527265,-0.16377257345955,0.8339766483509476,-0.06260357316561573,-0.2548950783150753,0.7911807390456486,-0.22296981737425675,0.21732044804925738,0.1633829599531964,0.20253791374153107,0.1675477801328395,0.24788545954515498,-0.057624436887439276,-0.001754876023886683,-0.09277796823227098,-0.042629714117305956,0.029935102164776056,0.04627764499889955,0.11471015823393793,-0.16218509763874345,-0.14472633089176695,-0.13395808502654039,-0.05272280494079782,0.033734657194715335,0.056216663166245504,-0.024988796960537754,0.10774588920940183
Dwell_a_d_BG,0.06772324142263643,0.02052769717949152,0.03267826814060154,0.04917480827355695,0.9320111399053624,-0.5233976007384413,-0.17854696967061243,0.9143772304336989,-0.5397016018960482,-0.20318796448548226,0.8522200940869641,-0.451508708014002,-0.1178872031652796,0.8153703148501472,-0.49383271908706483,-0.16290799356941982,1.0,-0.5776067740842851,-0.1380022213178212,0.9381556674903594,-0.6003799329963945,-0.18063998136941128,0.9376548093737471,-0.5078720847842528,-0.10589065697478106,0.9419102785860717,-0.5367639304058478,-0.11342934336268208,-0.49150030041939596,-0.14746524431036226,0.7318363591899734,-0.44631399694874574,-0.1666007854804582,0.7644737105448514,-0.5128337671983283,-0.16156799634362717,0.8768709475329337,-0.400077208931181,-0.06303471121561068,0.8411084621008184,-0.04421450025768143,-0.05193540863749136,0.0010816824263556258,-0.001118349450000348,-0.3274334874408023,-0.2393053413373243,-0.052207820950585224,0.13164305880953212,0.012291159326120543,-0.048977515485395466,-0.10825061280227333,-0.021152009262322746,0.6336962862031161,0.5996960238861032,0.5735167304239148,0.5789926791999959,0.006884682755201739,0.011573987153941562,0.3208830621259981,0.35778599547286655
Dwell_a_d_EY,-0.0946870906658474,-0.06221830868003604,-0.08705196355025378,-0.11585964867838598,-0.5424391809088784,0.8942544578044258,-0.057079575636230756,-0.5761246055127192,0.8416056706093864,-0.0335218494458057,-0.5538357503139977,0.7746903299197313,-0.09927288845042652,-0.5039586945021207,0.7865697810645873,-0.13082066010908833,-0.5776067740842851,1.0,-0.157663987740775,-0.5651229297579354,0.93527766741128,-0.09235488533318334,-0.5550217729192604,0.8966561448782796,-0.1629822027162906,-0.5281347980062068,0.9090000313001799,-0.20099293169577967,0.63285703592602,-0.18126674252681785,-0.5159234582350535,0.5908028669707411,-0.054359069258213794,-0.5927312882491451,0.8042223624980172,-0.17994171753125773,-0.5426237527972643,0.6146625912927068,-0.19206388077399886,-0.59499022958931,0.3735200617449869,0.43394807563513604,0.37015672641347225,0.38290381918927435,0.333552270625944,0.34758261182009986,0.25144338256961435,-0.035548222119394395,-0.1957715301700929,-0.18789848537363868,-0.19083123993224366,-0.22735551191412479,-0.4718557785469534,-0.45854948495987036,-0.452668175745836,-0.5072814762967115,-0.18151678400702675,-0.1808280458175852,-0.35229604400659476,-0.37700393844585633
Dwell_a_d_MO,-0.23846238927867788,-0.1875391719437323,-0.20868925348247142,-0.2162359766054511,-0.13592599344613251,-0.05937006366879788,0.9431990648026237,-0.1218768962074555,-0.06973022484025056,0.7895663813521077,-0.18984016393521988,-0.20892586780502953,0.8092290084656335,-0.20070486863011694,-0.1781136146786089,0.8399784717130674,-0.1380022213178212,-0.157663987740775,1.0,-0.1625397875546092,-0.16350441301854102,0.8337916311579715,-0.19721304573046589,-0.3275450093490055,0.8735917612525994,-0.20927830794732719,-0.2663022288097273,0.8055514607415155,-0.16263262738503265,0.6448164128353405,-0.1049988577301816,-0.14353128981296145,0.7538289377798656,-0.2066409415166837,-0.17157766850674247,0.8361282242748905,-0.062156980343366336,-0.28640648185112566,0.68971218197017,-0.1877775422610611,0.24158480084819456,0.1809953503534195,0.22932672496459633,0.16387570215266956,0.24092598264155887,-0.003201043512089636,0.029651018225271174,-0.20743747779053512,0.05948762218176586,0.09762852094405211,0.042697880585694875,0.17268433048895357,-0.036698711296260275,-0.034433721385112,-0.06650389788231811,0.027638024466872857,0.10148219535101158,0.12298829166764241,-0.01247358659205143,0.15998251623160378
Dwell_a_a_BG,0.08211465754510344,0.028192431278293722,0.03601424801189872,0.05752224834395997,0.8273210026861924,-0.5056714509027604,-0.20486610835686792,0.9312297204747009,-0.5153498994835203,-0.2440629606959951,0.7931359373740323,-0.41517369414646604,-0.14921505617732947,0.7268337912593927,-0.468444150464112,-0.19026147374216695,0.9381556674903594,-0.5651229297579354,-0.1625397875546092,1.0,-0.5870445753504279,-0.20915791102999298,0.9207671681672163,-0.4774328956471608,-0.14622322576136254,0.8943288550957479,-0.4966878131984594,-0.13744623092582695,-0.4797253576912795,-0.1951675922078765,0.783784840088214,-0.39474622518080427,-0.1756213363568043,0.7339043841928313,-0.5060637175827757,-0.19164406177560103,0.8094625444057334,-0.3691365539358193,-0.11332434889546075,0.8301975967573824,-0.055293120008962214,-0.049890980358321235,-0.0013472745139676279,-0.00010645544024860676,-0.2904230788696439,-0.20897804373300344,-0.06999937955818063,0.04853554482787436,-0.04475886883725368,-0.058803597935045124,-0.11879691129926298,-0.05480651584927215,0.6724231952172023,0.6223587143435572,0.5988922194028381,0.6103727933141289,-0.04801219784731049,-0.03688022360627075,0.3274792134882761,0.33704844290927516
