Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED
pctFirstFixc_aMO,0.041068153768371585,0.7840206535790101,0.8796329284057186,False,0.06694650649806246,0.6547988523423899,0.9326887523006654,False
pctFirstFixc_aBG,0.3034929674733102,0.03809696577536363,0.19471782507408078,False,0.13733926840943855,0.3572753098567295,0.9326887523006654,False
pctFirstFixa_dEY,-0.25097164711439324,0.08883082625612614,0.27263485627311096,False,-0.07608295751432582,0.6112493901571195,0.9326887523006654,False
pctFirstFixa_dMO,0.1727149371824132,0.24566654025417875,0.47021212459227213,False,0.17499669472662338,0.23938852376792946,0.9326887523006654,False
pctFirstFixa_dBG,0.3203712676001354,0.02813217703376678,0.1848685919361817,False,0.1904808687670656,0.19967199786681897,0.9326887523006654,False
pctFirstFixc_dEY,-0.30568603421100893,0.03665792228918694,0.19471782507408078,False,-0.09518959992375087,0.5244752387399879,0.9326887523006654,False
pctFirstFixc_dMO,-0.009936093595843132,0.9471503345594059,0.9681981197718371,False,-0.03081439534772489,0.83709317897114,0.9873406726326267,False
pctFirstFixc_dBG,0.32979096615566966,0.023586595771048928,0.1848685919361817,False,0.14112824194416934,0.34403611009093865,0.9326887523006654,False
meanRT-a_a,0.1100699620509776,0.46141166004955136,0.657564848663057,False,-0.005364248250291094,0.9714534858569859,0.9924233159116074,False
meanRT-c_a,0.13091289902654962,0.3804271343820251,0.624987435056184,False,-0.013878706645121579,0.926229360549142,0.9924233159116074,False
meanRT-a_d,0.16595900053791407,0.2649047708771751,0.47021212459227213,False,0.001423481137210152,0.9924233159116074,0.9924233159116074,False
meanRT-c_d,0.10370258937971294,0.4878836879598704,0.657564848663057,False,0.011087399678809218,0.9410368088942208,0.9924233159116074,False
msTotal.a_a,0.0772003392628327,0.6060094546755453,0.7335903925019759,False,-0.12196330661144217,0.4141122239015571,0.9326887523006654,False
msTotal.a_c,-0.3304158920959023,0.0233081973301801,0.1848685919361817,False,-0.17791878080601484,0.2315096033022193,0.9326887523006654,False
msTotal.d_a,0.11192305522416574,0.45385591736145237,0.657564848663057,False,-0.12088702504675805,0.4182748178097806,0.9326887523006654,False
msTotal.d_c,-0.2570415402176446,0.08112854791530368,0.27263485627311096,False,-0.04159817405692684,0.7813013340785175,0.9572935514988758,False
pctOffscreen.a_a,0.050904496876162636,0.734002046044921,0.8644813460582137,False,0.09179984736506006,0.5394140868669046,0.9326887523006654,False
pctOffscreen.a_c,-0.04739742772568856,0.751722909615838,0.8644813460582137,False,0.21428331278448073,0.14807745038857154,0.9326887523006654,False
pctOffscreen.d_a,-0.20109050832515793,0.175297659328194,0.38675986479911684,False,0.039747442953134426,0.7908077164555931,0.9572935514988758,False
pctOffscreen.d_c,-0.19797288714804134,0.1822257534875672,0.38675986479911684,False,-0.08014502639755221,0.5922944523090455,0.9326887523006654,False
pctOnBackground.a_a,0.0975871747802429,0.5140341178871806,0.657564848663057,False,0.0567026870665316,0.7050063217882385,0.9326887523006654,False
pctOnBackground.a_c,0.10185442333804064,0.495712834550931,0.657564848663057,False,0.1166114816015185,0.4350440292263315,0.9326887523006654,False
pctOnBackground.d_a,0.00483175058965532,0.9742862380004627,0.9742862380004627,False,0.006301052936810277,0.9664707888057571,0.9924233159116074,False
pctOnBackground.d_c,-0.03544873595489148,0.8130024179650582,0.8904312196760162,False,-0.05576787681786226,0.7096544854461585,0.9326887523006654,False
pctSamplesOffscreenL,0.09452825693080794,0.5273736545385423,0.657564848663057,False,0.06735655488338467,0.6528183814713323,0.9326887523006654,False
pctSamplesOffscreenR,0.011920632292905436,0.936614351206059,0.9681981197718371,False,0.09895113044369101,0.5081412600806173,0.9326887523006654,False
