Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED
pctOffscreen.a_a,-0.32116011601240413,0.027725447903519683,0.14332758201792278,False,0.0005013017285685865,0.9973317151543056,0.9979603684142391,False
pctOffscreen.a_c,-0.31363475148676934,0.031812018695882266,0.14332758201792278,False,-0.020466877438379924,0.8913867075540444,0.9979603684142391,False
pctOffscreen.d_a,-0.2922118195359533,0.046250896021703805,0.17729510141653126,False,-0.11535802622126096,0.44003034133747454,0.5622609917089952,False
pctOffscreen.d_c,-0.31070664927738273,0.03353139919879094,0.14332758201792278,False,-0.08162346849720234,0.5854608629589623,0.7278702620570882,False
pctOnBackground.a_a,-0.007986477004271242,0.9575096288930176,0.9730701389304077,False,0.2414578034851025,0.10203418687776837,0.21535049478846066,False
pctOnBackground.a_c,0.020167816741480358,0.8929644563108022,0.933553749779475,False,0.1983254592154938,0.18143256221759013,0.2781965954003049,False
pctOnBackground.d_a,0.026838085238159216,0.8578824864812362,0.933553749779475,False,0.15818764206422573,0.28824397961660797,0.3850035970153347,False
pctOnBackground.d_c,-0.0050603439715487565,0.9730701389304077,0.9730701389304077,False,0.19906684189388826,0.17977273525820325,0.2781965954003049,False
pctSamplesOffscreenL,-0.16790578537053874,0.2592611213364639,0.4770404632590936,False,-0.00038319374925046765,0.9979603684142391,0.9979603684142391,False
pctSamplesOffscreenR,-0.23894989677397566,0.10575417465541344,0.26355654516846677,False,-0.012973848231628282,0.931027031086073,0.9979603684142391,False
