Feature_1,Feature_2,p_fdr
Angry_Direct_FinalMax,pctFirstFixa_dMO,0.7095056448380365
Angry_Direct_FinalMax,pctFirstFixa_dBG,0.8006207215884475
Angry_Direct_FinalMax,pctFirstFixc_dEY,0.9359511002437404
Angry_Direct_FinalMax,pctFirstFixc_dMO,0.426886210039893
Angry_Direct_FinalMax,pctFirstFixc_dBG,0.40947702281739545
Angry_Direct_FinalMax,meanRT-a_a,0.35003177240360833
Angry_Direct_FinalMax,meanRT-c_a,0.33989932907241677
Angry_Direct_FinalMax,meanRT-a_d,0.4018242679347875
Angry_Direct_FinalMax,meanRT-c_d,0.397362770353026
Angry_Direct_FinalMax,msTotal.a_a,0.2625920650424952
Angry_Direct_FinalMax,msTotal.a_c,0.762588368906856
Angry_Direct_FinalMax,msTotal.d_a,0.8145756844522853
Angry_Direct_FinalMax,msTotal.d_c,0.8748767840148362
Angry_Direct_FinalMax,pctOffscreen.a_a,0.8925626676057461
Angry_Direct_FinalMax,pctOffscreen.a_c,0.39021937506782345
Angry_Direct_FinalMax,pctOffscreen.d_a,0.34463586984040784
Angry_Direct_FinalMax,pctOffscreen.d_c,0.9258464914614324
Angry_Direct_FinalMax,pctOnBackground.a_a,0.3978657735325367
Angry_Direct_FinalMax,pctOnBackground.a_c,0.1998700543999263
Angry_Direct_FinalMax,pctOnBackground.d_a,0.203752574795014
Angry_Direct_FinalMax,pctOnBackground.d_c,0.3544746178912642
Angry_Direct_FinalMax,pctSamplesOffscreenL,0.8275390990282492
Angry_Direct_FinalMax,pctSamplesOffscreenR,0.8351684508787682
Angry_Direct_FinalMax,ARI_6_P,0.762588368906856
Angry_Direct_FinalMax,SCARED_P,0.7369851650831918
Angry_Avert_FinalMax,Fix_a_d_BG,0.7191987613943458
Angry_Avert_FinalMax,Fix_a_d_EY,0.39605653779046945
Angry_Avert_FinalMax,Fix_a_d_MO,0.2578497527258097
Angry_Avert_FinalMax,Fix_a_a_BG,0.7556388802693401
Angry_Avert_FinalMax,Fix_a_a_EY,0.623840347099165
Angry_Avert_FinalMax,Fix_a_a_MO,0.2536056520352376
Angry_Avert_FinalMax,Fix_c_d_BG,0.6191291691212041
Angry_Avert_FinalMax,Fix_c_d_EY,0.48024844363166413
Angry_Avert_FinalMax,Fix_c_d_MO,0.35242300461697457
Angry_Avert_FinalMax,Fix_c_a_BG,0.7608536115367969
Angry_Avert_FinalMax,Fix_c_a_EY,0.46577963258121335
Angry_Avert_FinalMax,Fix_c_a_MO,0.3860747537960718
Angry_Avert_FinalMax,Dwell_a_d_BG,0.8336693005346726
Angry_Avert_FinalMax,Dwell_a_d_EY,0.5778931850622605
Angry_Avert_FinalMax,Dwell_a_d_MO,0.23799891590026004
Angry_Avert_FinalMax,Dwell_a_a_BG,0.8048797988603967
Angry_Avert_FinalMax,Dwell_a_a_EY,0.837025478329747
Angry_Avert_FinalMax,Dwell_a_a_MO,0.2905724497931887
Angry_Avert_FinalMax,Dwell_c_d_BG,0.7556388802693401
Angry_Avert_FinalMax,Dwell_c_d_EY,0.5865565471538757
Angry_Avert_FinalMax,Dwell_c_d_MO,0.25107005817398453
Angry_Avert_FinalMax,Dwell_c_a_BG,0.7932304397155979
Angry_Avert_FinalMax,Dwell_c_a_EY,0.5240841921927901
Angry_Avert_FinalMax,Dwell_c_a_MO,0.7658650610280775
Angry_Avert_FinalMax,pctFirstFixa_aEY,0.8836622970419743
Angry_Avert_FinalMax,pctFirstFixa_aMO,0.3911150065638339
Angry_Avert_FinalMax,pctFirstFixa_aBG,0.46692203281132477
Angry_Avert_FinalMax,pctFirstFixc_aEY,0.8918539227697148
Angry_Avert_FinalMax,pctFirstFixc_aMO,0.3933232303051961
Angry_Avert_FinalMax,pctFirstFixc_aBG,0.6730699574987576
Angry_Avert_FinalMax,pctFirstFixa_dEY,0.7199068724599769
Angry_Avert_FinalMax,pctFirstFixa_dMO,0.6805097118966081
Angry_Avert_FinalMax,pctFirstFixa_dBG,0.6736711029721927
Angry_Avert_FinalMax,pctFirstFixc_dEY,0.9203887008039628
Angry_Avert_FinalMax,pctFirstFixc_dMO,0.43251035188438136
Angry_Avert_FinalMax,pctFirstFixc_dBG,0.3044420515783864
Angry_Avert_FinalMax,meanRT-a_a,0.3114404705182531
Angry_Avert_FinalMax,meanRT-c_a,0.29761216672167834
Angry_Avert_FinalMax,meanRT-a_d,0.35787617576343445
Angry_Avert_FinalMax,meanRT-c_d,0.3847459050917241
Angry_Avert_FinalMax,msTotal.a_a,0.33744296050801875
Angry_Avert_FinalMax,msTotal.a_c,0.793287677484882
Angry_Avert_FinalMax,msTotal.d_a,0.875264824295577
Angry_Avert_FinalMax,msTotal.d_c,0.8918539227697148
Angry_Avert_FinalMax,pctOffscreen.a_a,0.7451333469267869
Angry_Avert_FinalMax,pctOffscreen.a_c,0.22873113496710215
Angry_Avert_FinalMax,pctOffscreen.d_a,0.1874221712228945
Angry_Avert_FinalMax,pctOffscreen.d_c,0.8014962550248024
Angry_Avert_FinalMax,pctOnBackground.a_a,0.33744296050801875
Angry_Avert_FinalMax,pctOnBackground.a_c,0.153722332352986
Angry_Avert_FinalMax,pctOnBackground.d_a,0.14017401513008243
