Feature_1,Feature_2,p_fdr
Angry_Direct_FinalMax,Dwell_c_a_BG,0.8316206975708251
Angry_Direct_FinalMax,Dwell_c_a_EY,0.7049955652887959
Angry_Direct_FinalMax,Dwell_c_a_MO,0.7108431216205255
Angry_Direct_FinalMax,pctFirstFixa_aEY,0.972168237593056
Angry_Direct_FinalMax,pctFirstFixa_aMO,0.4204763632811536
Angry_Direct_FinalMax,pctFirstFixa_aBG,0.5790724005281059
Angry_Direct_FinalMax,pctFirstFixc_aEY,0.9019241441021502
Angry_Direct_FinalMax,pctFirstFixc_aMO,0.42813197228070643
Angry_Direct_FinalMax,pctFirstFixc_aBG,0.7000931461705708
Angry_Direct_FinalMax,pctFirstFixa_dEY,0.8645374461335212
Angry_Direct_FinalMax,pctFirstFixa_dMO,0.7218602519260624
Angry_Direct_FinalMax,pctFirstFixa_dBG,0.7978679403206119
Angry_Direct_FinalMax,pctFirstFixc_dEY,0.9412838609757611
Angry_Direct_FinalMax,pctFirstFixc_dMO,0.4473078203409071
Angry_Direct_FinalMax,pctFirstFixc_dBG,0.4151174207819009
Angry_Direct_FinalMax,meanRT-a_a,0.36412401666454236
Angry_Direct_FinalMax,meanRT-c_a,0.35297541428839185
Angry_Direct_FinalMax,meanRT-a_d,0.42071336128216946
Angry_Direct_FinalMax,meanRT-c_d,0.4151174207819009
Angry_Direct_FinalMax,msTotal.a_a,0.2779640832899135
Angry_Direct_FinalMax,msTotal.a_c,0.7457936453950429
Angry_Direct_FinalMax,msTotal.d_a,0.8164641011431211
Angry_Direct_FinalMax,msTotal.d_c,0.8839248932423325
Angry_Direct_FinalMax,pctOffscreen.a_a,0.891930666768739
Angry_Direct_FinalMax,pctOffscreen.a_c,0.3945499883656644
Angry_Direct_FinalMax,pctOffscreen.d_a,0.36412401666454236
Angry_Direct_FinalMax,pctOffscreen.d_c,0.926686979366851
Angry_Direct_FinalMax,pctOnBackground.a_a,0.4105988379505584
Angry_Direct_FinalMax,pctOnBackground.a_c,0.20610863195290996
Angry_Direct_FinalMax,pctOnBackground.d_a,0.22315658261750476
Angry_Direct_FinalMax,pctOnBackground.d_c,0.3660318052637816
Angry_Direct_FinalMax,pctSamplesOffscreenL,0.8424038085683792
Angry_Direct_FinalMax,pctSamplesOffscreenR,0.8468611880726342
Angry_Direct_FinalMax,ARI_6_P,0.768068176430334
Angry_Direct_FinalMax,SCARED_P,0.7568034036102472
Angry_Avert_FinalMax,Fix_a_d_BG,0.7211242353652446
Angry_Avert_FinalMax,Fix_a_d_EY,0.4217182913758211
Angry_Avert_FinalMax,Fix_a_d_MO,0.28499320608503187
Angry_Avert_FinalMax,Fix_a_a_BG,0.7632586055128228
Angry_Avert_FinalMax,Fix_a_a_EY,0.6512786596223041
Angry_Avert_FinalMax,Fix_a_a_MO,0.2766882831380367
Angry_Avert_FinalMax,Fix_c_d_BG,0.6183821268076514
Angry_Avert_FinalMax,Fix_c_d_EY,0.4989486048312193
Angry_Avert_FinalMax,Fix_c_d_MO,0.37398219218875467
Angry_Avert_FinalMax,Fix_c_a_BG,0.7568034036102472
Angry_Avert_FinalMax,Fix_c_a_EY,0.5153722041891288
Angry_Avert_FinalMax,Fix_c_a_MO,0.40531152361547496
Angry_Avert_FinalMax,Dwell_a_d_BG,0.8316206975708251
Angry_Avert_FinalMax,Dwell_a_d_EY,0.583050988486516
Angry_Avert_FinalMax,Dwell_a_d_MO,0.2648161006922532
Angry_Avert_FinalMax,Dwell_a_a_BG,0.807020784305281
Angry_Avert_FinalMax,Dwell_a_a_EY,0.8387835641330667
Angry_Avert_FinalMax,Dwell_a_a_MO,0.3128556476634952
Angry_Avert_FinalMax,Dwell_c_d_BG,0.7568034036102472
Angry_Avert_FinalMax,Dwell_c_d_EY,0.5836832397499151
Angry_Avert_FinalMax,Dwell_c_d_MO,0.2766882831380367
Angry_Avert_FinalMax,Dwell_c_a_BG,0.7943805816556873
Angry_Avert_FinalMax,Dwell_c_a_EY,0.5573408071515339
Angry_Avert_FinalMax,Dwell_c_a_MO,0.7761704199818408
Angry_Avert_FinalMax,pctFirstFixa_aEY,0.9023331840870873
Angry_Avert_FinalMax,pctFirstFixa_aMO,0.3945259086417992
Angry_Avert_FinalMax,pctFirstFixa_aBG,0.48040803102936724
Angry_Avert_FinalMax,pctFirstFixc_aEY,0.928235570194358
