Type,Feature_1,Feature_2,r,p_fdr,significant
feature-feature,Fix_a_d_EY,Dwell_a_a_BG,-0.5047283352079478,0.0003529381138230217,True
feature-feature,Fix_a_d_EY,Dwell_a_a_EY,0.8450208569474864,3.0160945749636584e-15,True
feature-feature,Fix_a_d_EY,Dwell_c_d_BG,-0.5077960452455624,0.00031770918429920876,True
feature-feature,Fix_a_d_EY,Dwell_c_d_EY,0.8021247110401092,9.526285350664386e-13,True
feature-feature,Fix_a_d_EY,Dwell_c_a_BG,-0.47940818017838804,0.0008419422364005109,True
feature-feature,Fix_a_d_EY,Dwell_c_a_EY,0.8323121656124227,1.984695412021896e-14,True
feature-feature,Fix_a_d_EY,pctFirstFixa_aEY,0.720183467964495,2.7092684040451365e-09,True
feature-feature,Fix_a_d_EY,pctFirstFixa_aBG,-0.45570460539297597,0.0017250480000764225,True
feature-feature,Fix_a_d_EY,pctFirstFixc_aEY,0.6878330070102312,3.180500722816696e-08,True
feature-feature,Fix_a_d_EY,pctFirstFixc_aBG,-0.5435446395422089,8.151170968125026e-05,True
feature-feature,Fix_a_d_EY,pctFirstFixa_dEY,0.8752021209587955,1.5975215437873203e-17,True
feature-feature,Fix_a_d_EY,pctFirstFixa_dBG,-0.46934593284411025,0.0011435955139985467,True
feature-feature,Fix_a_d_EY,pctFirstFixc_dEY,0.6709648631858451,1.0146028951323997e-07,True
feature-feature,Fix_a_d_EY,pctFirstFixc_dBG,-0.4933178335597961,0.0005275799037085011,True
feature-feature,Fix_a_d_EY,meanRT-a_a,0.4878468893559286,0.0006325089270203928,True
feature-feature,Fix_a_d_EY,meanRT-c_a,0.47932853220328336,0.0008420380744010404,True
feature-feature,Fix_a_d_EY,meanRT-a_d,0.48671693089496193,0.0006557750840357534,True
feature-feature,Fix_a_d_EY,meanRT-c_d,0.4890475021595487,0.0006083995135636571,True
feature-feature,Fix_a_d_EY,msTotal.a_a,0.45481595764856936,0.0017680381368844506,True
feature-feature,Fix_a_d_EY,msTotal.a_c,0.32839801627765536,0.041372771897909846,True
feature-feature,Fix_a_d_EY,pctOnBackground.a_a,-0.39612510962195135,0.009194412537140673,True
feature-feature,Fix_a_d_EY,pctOnBackground.a_c,-0.39162411202535646,0.010222839135474613,True
feature-feature,Fix_a_d_EY,pctOnBackground.d_a,-0.38963444262199537,0.010730483663446741,True
feature-feature,Fix_a_d_EY,pctOnBackground.d_c,-0.4384603049673362,0.002893859101844767,True
feature-feature,Fix_a_d_EY,ARI_6_P,-0.2867217151789071,0.09076087949710705,True
feature-feature,Fix_a_d_EY,SCARED_P,-0.35335102561547094,0.025151522372475588,True
feature-feature,Fix_a_d_MO,Fix_a_a_MO,0.8806224405832851,5.2312480114968766e-18,True
feature-feature,Fix_a_d_MO,Fix_c_d_MO,0.8887223226554851,9.342109066503836e-19,True
feature-feature,Fix_a_d_MO,Fix_c_a_MO,0.8538747916934875,7.432362353469811e-16,True
feature-feature,Fix_a_d_MO,Dwell_a_d_MO,0.9441585000954756,3.813027804891095e-26,True
feature-feature,Fix_a_d_MO,Dwell_a_a_MO,0.8214667258303473,8.679488801089628e-14,True
feature-feature,Fix_a_d_MO,Dwell_c_d_MO,0.8621280549964613,1.7705833905042847e-16,True
feature-feature,Fix_a_d_MO,Dwell_c_a_MO,0.7451729166246951,3.2347666319862333e-10,True
feature-feature,Fix_a_d_MO,pctFirstFixa_aMO,0.6572659714823885,2.449888906016548e-07,True
feature-feature,Fix_a_d_MO,pctFirstFixc_aMO,0.724182409331822,1.965010794001272e-09,True
feature-feature,Fix_a_d_MO,pctFirstFixa_dMO,0.8203892210550113,9.996074778401052e-14,True
feature-feature,Fix_a_d_MO,pctFirstFixc_dMO,0.6616398288859345,1.8648090922195474e-07,True
feature-feature,Fix_a_d_MO,meanRT-a_a,0.3237138989685778,0.04526507288367134,True
feature-feature,Fix_a_d_MO,meanRT-a_d,0.322780599394266,0.04598163401439282,True
feature-feature,Fix_a_d_MO,msTotal.a_a,0.31640396556660616,0.05265301941747006,True
feature-feature,Fix_a_a_BG,Fix_a_a_EY,-0.47509533163014006,0.0009551423449212223,True
