,ARI_6_P,Angry_Avert_FinalMax,Angry_Direct_FinalMax,Calm_Avert_FinalMax,Calm_Direct_FinalMax,Dwell_a_a_BG,Dwell_a_a_EY,Dwell_a_a_MO,Dwell_a_d_BG,Dwell_a_d_EY,Dwell_a_d_MO,Dwell_c_a_BG,Dwell_c_a_EY,Dwell_c_a_MO,Dwell_c_d_BG,Dwell_c_d_EY,Dwell_c_d_MO,Fix_a_a_BG,Fix_a_a_EY,Fix_a_a_MO,Fix_a_d_BG,Fix_a_d_EY,Fix_a_d_MO,Fix_c_a_BG,Fix_c_a_EY,Fix_c_a_MO,Fix_c_d_BG,Fix_c_d_EY,Fix_c_d_MO,SCARED_P,meanRT-a_a,meanRT-a_d,meanRT-c_a,meanRT-c_d,msTotal.a_a,msTotal.a_c,msTotal.d_a,msTotal.d_c,pctFirstFixa_aBG,pctFirstFixa_aEY,pctFirstFixa_aMO,pctFirstFixa_dBG,pctFirstFixa_dEY,pctFirstFixa_dMO,pctFirstFixc_aBG,pctFirstFixc_aEY,pctFirstFixc_aMO,pctFirstFixc_dBG,pctFirstFixc_dEY,pctFirstFixc_dMO,pctOffscreen.a_a,pctOffscreen.a_c,pctOffscreen.d_a,pctOffscreen.d_c,pctOnBackground.a_a,pctOnBackground.a_c,pctOnBackground.d_a,pctOnBackground.d_c,pctSamplesOffscreenL,pctSamplesOffscreenR
Dwell_a_d_MO,0.9352977032539065,0.2648161006922532,0.28157255852961854,0.3398716301601921,0.19934839660111703,0.3987016329013698,0.40521502396275266,1.2000285809003587e-14,0.48871947185930387,0.4204391239755272,,0.2681005475027832,0.11415376490718614,4.1654070841342325e-13,0.2959003696193613,0.04251327862656213,2.1806192910901097e-17,0.5652965312532139,0.7568034036102472,2.930850151068099e-12,0.4989486048312193,0.7898386202667611,3.813027804891095e-26,0.28525637440536394,0.31527474968533653,4.408439296392648e-15,0.3152935165817671,0.26756864805934916,4.155298450858479e-13,0.4228736200085942,0.1772697214512524,0.20610863195290996,0.34307372560799343,0.3940859809002833,0.1822940396702297,0.9961400906660222,0.8993493496111417,0.28499320608503187,0.633788975639065,0.38173845731776307,2.720422649732323e-07,0.7969788226352117,0.32695842179077705,1.1572465586453632e-14,0.2712987824403162,0.4204763632811536,1.746933188063631e-10,0.32877529190269467,0.08822066927113227,2.9015594809913647e-08,0.8053771734334952,0.6802006841047408,0.8424038085683792,0.3728326204578324,0.8762014609161068,0.8710153692064719,0.7969788226352117,0.8993493496111417,0.659859639398476,0.5611754527475835
Dwell_c_a_BG,0.031633070843600675,0.7943805816556873,0.8316206975708251,0.8924462345430042,0.6902709389691392,2.900702814659419e-19,5.665153244244591e-05,0.23805584587337103,1.1159027065627198e-25,0.0001626125164458388,0.2681005475027832,,0.0006701909626875123,0.28020538744670875,4.069443994680931e-27,0.0013339329902863257,0.37350460389335527,2.461849186908396e-19,0.0005644524016770681,0.17921069389466773,1.233311160132525e-21,0.0008419422364005109,0.18300946048025607,3.83161013676003e-21,0.0020592436542252626,0.1855291293698824,6.152037311337921e-21,0.006526659512129354,0.3443607726228431,0.19104151066200378,0.9712533646240656,0.8508193501215714,0.956194586246404,0.8164641011431211,0.12412867078911698,0.24781801719109056,0.8584107916143494,0.5960671095743246,1.1068072728371883e-07,0.004118912323559659,0.2569168324889744,4.600606815339517e-13,0.0011215977087718938,0.1785904737608599,1.3681764512911228e-13,0.004942409891511223,0.20171419956178466,3.7436600245034386e-16,0.018770312258338293,0.5356071130701063,0.8932352908898701,0.7722681728894056,0.6151135834103292,0.8878309809622983,3.973384912916548e-06,1.2296721216688603e-05,6.758137271177146e-05,6.499171964196131e-05,0.8924462345430042,0.9226515731499475
Dwell_c_a_EY,0.19827316949859425,0.5573408071515339,0.7049955652887959,0.7183193223088336,0.6594082264696347,0.00043700902377071367,2.2090465657438844e-20,0.28525637440536394,9.582737494913583e-05,4.015473998374542e-21,0.11415376490718614,0.0006701909626875123,,0.06634293005758053,0.00021626620097818663,2.267402555279504e-24,0.19761965249855926,0.0002048731229392517,2.2914679094265543e-13,0.6544492396064793,0.0005036358539490937,1.984695412021896e-14,0.41370855926735295,0.001478207556817517,3.030602284922623e-17,0.2266839729756712,0.0002941975898335069,3.1107417248808738e-12,0.4486801805453868,0.04139083335716135,0.10010460616507812,0.10274624612846696,0.006936450962443378,0.059161337393341375,0.04139083335716135,0.12600674383757016,0.5159748104629696,0.8584107916143494,0.0005558261717610749,1.7141739893497592e-06,0.277774276785652,0.00019204225358670558,1.7628036875420283e-12,0.09893921023496619,0.00011327678693389233,5.9040319340689996e-08,0.3987016329013698,0.00010067621563804653,5.493926604544948e-07,0.1653804843654197,0.2384277486139045,0.14165211474423858,0.2504666719715458,0.09076087949710705,0.0005881259658607117,0.0003751640208049157,0.0007337536005541085,4.2595648648889844e-05,0.26756864805934916,0.2422378016148128
Dwell_c_a_MO,0.8710153692064719,0.7761704199818408,0.7108431216205255,0.7251330210222614,0.5153722041891288,0.4466195427787273,0.28891462586281785,1.09173704312364e-10,0.5573408071515339,0.3054456861864425,4.1654070841342325e-13,0.28020538744670875,0.06634293005758053,,0.2972851787283305,0.04104410023475328,2.6540752576402893e-12,0.5751145041923207,0.35893435694334763,5.910383982110856e-08,0.4691784128187101,0.40911099063854595,3.2347666319862333e-10,0.3087543343401082,0.12246385344670768,6.414708466587535e-23,0.2748578377542237,0.13656445432944825,1.274728033654533e-09,0.4372533795644607,0.7586944479786051,0.8073169833524212,0.8514688709614772,0.9630826602971929,0.3398716301601921,0.8725130462366038,0.9930041869422693,0.7887156556395778,0.773649391839817,0.2246855927957339,4.109733317177006e-06,0.8971137972506876,0.18039615885009638,9.238723185340446e-13,0.32174963038890203,0.19896379913929552,4.460483851381362e-17,0.3064019717170016,0.10381340278863302,1.7233716640044822e-10,0.8599582666115368,0.6041418466995376,0.5125661726713677,0.6486532845579024,0.5824990761904905,0.7608019165496264,0.8378352667734466,0.8530023396397862,0.9630826602971929,0.8164641011431211
Dwell_c_d_BG,0.08972158260528827,0.7568034036102472,0.8424038085683792,0.8710153692064719,0.6821867227072935,3.957622801296366e-22,1.3869144530673129e-05,0.3270552192487874,6.572399933584082e-25,5.3130922641068555e-05,0.2959003696193613,4.069443994680931e-27,0.00021626620097818663,0.2972851787283305,,0.00030436550384461313,0.35150733322081035,2.1480317359723009e-19,0.00014958205180421263,0.2266839729756712,3.246782133019905e-19,0.00031770918429920876,0.2160712804489574,2.0683050384406208e-15,0.0006358409045589701,0.18877221598949867,4.594052642851849e-22,0.001888687545551528,0.3064019717170016,0.06361842524078928,0.8201358919112919,0.9246801833770629,0.7282524078469246,0.928813170032339,0.05195875450874001,0.37903753956718456,0.9178630537618183,0.5719612750253649,7.85910639370331e-08,0.002379430068867119,0.38223580705797033,1.063653812395053e-12,0.000672476247792515,0.1959964888650856,2.0464569599543214e-10,0.00706842673867962,0.17709776133965874,1.3647910628434973e-16,0.009552666447418841,0.5003824518124287,0.7334356433702378,0.8022337893473502,0.7568034036102472,0.9286885274462854,2.6377879247262226e-07,4.587107750075839e-06,1.4362472730782017e-05,7.13037315738264e-06,0.8164641011431211,0.8946531030913836
Dwell_c_d_EY,0.3945259086417992,0.5836832397499151,0.6629611668710573,0.7175964372609018,0.625130653846993,0.0008780153264047371,9.847657411585517e-19,0.19520750661697936,0.0003238859233631857,1.5992353011131126e-19,0.04251327862656213,0.0013339329902863257,2.267402555279504e-24,0.04104410023475328,0.00030436550384461313,,0.07428199606738424,0.00031263096781635846,1.5547491729557296e-11,0.3346775016247173,0.0008885012221071147,9.526285350664386e-13,0.1901295904928589,0.0029962408857818206,6.151350092561566e-14,0.07960347268708722,0.00027840657812008043,7.682663434322059e-15,0.2447062021547464,0.15800249076662654,0.2422378016148128,0.2556780885409783,0.057553877493897135,0.11079627027643081,0.029709767941679288,0.06556543642178597,0.4316412965299877,0.9836001042804521,0.0008780153264047371,3.5229219496918507e-06,0.17596957774940766,0.00029888764644640906,7.051110587999323e-12,0.0300985893839847,0.0006306828178258045,6.77767179006123e-07,0.2773409746249033,0.00017519667996439357,7.806261326237753e-09,0.08575871562130272,0.22440978994730593,0.3128556476634952,0.4568220545107212,0.12875139869563468,0.0019530786609675342,0.004428045558923331,0.008328499332888996,0.00025826076972312135,0.3591778723150883,0.37628535637214017
Dwell_c_d_MO,0.7945601677390767,0.2766882831380367,0.2939016717607265,0.38269386197435923,0.2314817314851983,0.4400532943641629,0.42813197228070643,1.8414026171454323e-10,0.6036032610188958,0.40862469343208246,2.1806192910901097e-17,0.37350460389335527,0.19761965249855926,2.6540752576402893e-12,0.35150733322081035,0.07428199606738424,,0.580573547073304,0.7396425899003947,5.291546282056604e-13,0.6802006841047408,0.7421717488183306,1.7705833905042847e-16,0.4228736200085942,0.3728326204578324,2.6655463149803613e-16,0.36412401666454236,0.34780429218620323,7.225483738019398e-27,0.3502437945709424,0.3764905866344537,0.4588211375659615,0.6330071268997145,0.5336645303186822,0.12246385344670768,0.533246391118949,0.8236145629561771,0.2837669598981363,0.7563258512479883,0.32174963038890203,3.0526819059562574e-10,0.9642774059729112,0.3255125216210717,5.397593455641577e-13,0.45813644838452805,0.37903099020545,1.1040550899806496e-09,0.3552056090033961,0.1325231672752646,7.383034358505444e-17,0.8645374461335212,0.9198910019921785,0.8182620719330901,0.5241331590404724,0.7903759517049234,0.7759517851251957,0.7969788226352117,0.9322284763028723,0.808401787839162,0.7076370838423636
Fix_a_a_BG,0.041210153192749024,0.7632586055128228,0.8688208045634063,0.8726333476034138,0.7251330210222614,9.255400385992553e-24,7.347120916079939e-06,0.35150733322081035,1.5430684504001092e-21,2.033917888234368e-05,0.5652965312532139,2.461849186908396e-19,0.0002048731229392517,0.5751145041923207,2.1480317359723009e-19,0.00031263096781635846,0.580573547073304,,0.0009551423449212223,0.3443607726228431,5.356058426066643e-19,0.0020592436542252626,0.4971205088284626,8.194346903533027e-14,0.0029962408857818206,0.4151174207819009,3.0246301494260887e-17,0.012626178393467517,0.597696780768719,0.0799910081034941,0.8946531030913836,0.6780018635881918,0.8491876005941895,0.6598411441404376,0.05272288024753861,0.3179020346294352,0.9609793686010674,0.5863481784789556,4.5413276980916427e-13,0.0008504671398622711,0.3584100503330972,2.2416954120462812e-14,0.0009096247712202139,0.4486801805453868,1.3776289763357926e-10,0.013557959392391827,0.4874240584217745,1.867901390894111e-15,0.009980136408320593,0.5454366616591911,0.8164641011431211,0.9352977032539065,0.9352977032539065,0.9219835765774552,1.5919281245877387e-07,2.0464405327233213e-06,6.223776161802743e-06,2.964041999101775e-05,0.8677866908465965,0.8042011554888201
Fix_a_a_EY,0.11299106139252069,0.6512786596223041,0.6661843421008969,0.7632318846608231,0.6705212699133665,0.0002434888514034886,1.6845081359040262e-17,0.9836001042804521,9.118273670375439e-05,4.493817381366744e-15,0.7568034036102472,0.0005644524016770681,2.2914679094265543e-13,0.35893435694334763,0.00014958205180421263,1.5547491729557296e-11,0.7396425899003947,0.0009551423449212223,,0.4999656402966589,0.0015362379870738278,1.5012085310944413e-27,0.7124743617909792,0.004484029389648167,5.353258120131297e-19,0.8508193501215714,0.0014601412601338121,1.3371518023208682e-18,0.8599582666115368,0.008328499332888996,0.0008765869066860079,0.0014621593289911809,0.0031258870273770667,0.001429058405509001,0.0012753885603343916,0.05307788023960481,0.5683036576261028,0.8364156600787434,0.0004947442938741588,1.9490823784958525e-10,0.40521502396275266,0.0009551423449212223,2.170804101062055e-12,0.4341425247960081,4.944867271630579e-05,1.9100288414723e-07,0.9659060921733926,0.000968960271954259,8.681607053620854e-07,0.31015939301889006,0.7270397450393417,0.9598443848842062,0.8993493496111417,0.8278972403153837,0.007776670696501735,0.021759112683993883,0.026235008597152245,0.00808754623244566,0.9873108878039567,0.9570631791550847
Fix_a_a_MO,0.8691156076720106,0.2766882831380367,0.3064019717170016,0.34270735986414114,0.177343504892834,0.19984074910238647,0.8924462345430042,5.661908655594003e-19,0.3064019717170016,0.8675583744606353,2.930850151068099e-12,0.17921069389466773,0.6544492396064793,5.910383982110856e-08,0.2266839729756712,0.3346775016247173,5.291546282056604e-13,0.3443607726228431,0.4999656402966589,,0.3974233361901298,0.5763728163406433,5.2312480114968766e-18,0.28525637440536394,0.9034032755490659,6.723518679897814e-14,0.2996326886366012,0.9836001042804521,1.9258771357106043e-17,0.9023331840870873,0.13017919452565546,0.17416951627190974,0.35297541428839185,0.2396123043632212,0.028515642893854908,0.7175964372609018,0.6661843421008969,0.7887156556395778,0.2865459946526154,0.8645374461335212,4.4459416214735744e-11,0.583050988486516,0.8349639906855156,1.518293698313354e-08,0.2837669598981363,0.6882150530047456,2.480357097491633e-09,0.3542194141245791,0.3253233267110116,2.9442122740544388e-06,0.8021753365670733,0.8495626889824766,0.6494715591911324,0.5967010459784536,0.522494473402897,0.5150483265753028,0.6327200963907752,0.8156964540069226,0.6255177757313415,0.5683892536705792
